23;0.83;10
23;1;13
23;1.5;20
23;1.83;30
23;2;34
23;2.18;40
23;2.4;50
23;2.5;53
23;2.68;60
23;3;70
23;3.25;80
23;3.5;86
23;3.68;90
23;4;98
23;4.13;100
27;0;0
27;0.5;5
27;0.83;10
27;1;13
27;1.5;20
27;1.83;30
27;2;34
27;2.18;40
27;2.4;50
27;2.5;53
27;2.68;60
27;3;70
27;3.25;80
27;3.5;86
27;3.68;90
27;4;98
27;4.13;100
19;0;0
19;0.5;4
19;1;10
19;1.5;15
19;1.75;20
19;2;23
19;2.35;30
19;2.5;33
19;2.825;40
19;3;44
19;3.2;50
19;3.5;60
19;3.85;70
19;4;75
19;4.15;80
19;4.5;90
19;4.925;100
24;0;0
24;0.5;4
24;1;10
24;1.5;15
24;1.75;20
24;2;23
24;2.35;30
24;2.5;33
24;2.825;40
24;3;44
24;3.2;50
24;3.5;60
24;3.85;70
24;4;75
24;4.15;80
24;4.5;90
24;4.925;100
28;0;0
28;0.5;4
28;1;10
28;1.5;15
28;1.75;20
28;2;23
28;2.35;30
28;2.5;33
28;2.825;40
28;3;44
28;3.2;50
28;3.5;60
28;3.85;70
28;4;75
28;4.15;80
28;4.5;90
28;4.925;100
29;0;0
29;0.5;3
29;1;7
29;1.275;10
29;1.5;12
29;2;20
29;2.5;27
29;2.675;30
29;3;35
29;3.25;40
29;3.5;45
29;3.7;50
29;4;57
29;4.1;60
29;4.5;70
29;5;80
29;5.5;90
29;6;100
30;0;0
30;1;26
30;2;55
30;3;95
30;3.5;100
31;0;0
31;1;15
31;2;36
31;3;70
31;4;90
31;5;100
32;0;0
32;1;9
32;2;20
32;3;42
32;4;73
32;5;97
32;5.5;100
33;0;0
33;1;8
33;2;18
33;3;33
33;4;55
33;5;82
33;6;100
34;0;0
34;1;6
34;2;14
34;3;26
34;4;43
34;5;70
34;6.75;100
35;0;0
35;1;4
35;2;9
35;3;18
35;4;30
35;5;48
35;6;70
35;7;88
35;8;100
36;0;0
36;1;3
36;1.5;4
36;2;6
36;2.5;9
36;3;12
36;3.5;17
36;4;21
36;4.5;27
36;5;35
36;5.5;42
36;6;50
36;6.5;58
36;7;68
36;7.5;76
36;8;84
36;8.5;90
